SampleId	Class
HUMHMGCOA-NEG-2101	N
HUMHOM4-NEG-841	N
HUMHPARS1-ACCEPTOR-3750	IE
HUMHPARS1-DONOR-5547	EI
HUMHPARS1-NEG-4801	N
HUMHPARS2-NEG-6961	N
HUMHSDB-NEG-121	N
HUMHSP90B-DONOR-5188	EI
HUMIFNB3-NEG-10201	N
HUMIFNINI-DONOR-3237	EI
HUMIGF27-NEG-1	N
HUMIGHAJ-NEG-541	N
HUMIGHVV2-NEG-841	N
HUMIL2B-ACCEPTOR-500	IE
HUMIL2B-DONOR-560	EI
HUMIL2R-NEG-1	N
HUMIL2RX6-NEG-1	N
HUMINCPPS-NEG-3181	N
HUMINIFI-NEG-481	N
HUMINSPR-NEG-61	N
HUMIRBPG-ACCEPTOR-6987	IE
HUMIRBPG-ACCEPTOR-8736	IE
HUMIRBPG-DONOR-7130	EI
HUMKAL2-ACCEPTOR-3894	IE
HUMKERMII-NEG-181	N
HUMKTEP2A-NEG-1441	N
HUMLDHB1-NEG-2461	N
HUMLDL100-NEG-1381	N
HUMLDLRRL-NEG-2641	N
HUMLDLRRL-NEG-7201	N
HUMLHRH-NEG-961	N
HUMLKHA4-NEG-61	N
HUMMDRA3-NEG-961	N
HUMMG2-NEG-541	N
HUMMH6-DONOR-1225	EI
HUMMHA3-NEG-1501	N
HUMMHB27B-NEG-1201	N
HUMMHCP52-ACCEPTOR-1763	IE
HUMMHCP52-DONOR-2344	EI
HUMMHCP52-DONOR-569	EI
HUMMHCW1B-ACCEPTOR-882	IE
HUMMHCW1B-DONOR-754	EI
HUMMHDOB-ACCEPTOR-4124	IE
HUMMHDOB-ACCEPTOR-4486	IE
HUMMHDQOB-NEG-1	N
HUMMHDRHA-ACCEPTOR-4276	IE
HUMMHEA-NEG-2041	N
HUMMIS-ACCEPTOR-1697	IE
HUMMPRCI-NEG-5161	N
HUMMUC18B-NEG-61	N
HUMMYCC-DONOR-2852	EI
HUMOPS-ACCEPTOR-3783	IE
HUMPAIR1-NEG-1081	N
HUMPEPC1-NEG-901	N
HUMPFKM23-NEG-1621	N
HUMPGK2P-NEG-361	N
HUMPKCB1A-NEG-1321	N
HUMPRP0A-NEG-2161	N
HUMPRPC4B-NEG-541	N
HUMPRPH1-DONOR-1687	EI
HUMPRPH2-DONOR-2660	EI
HUMPSAP-ACCEPTOR-993	IE
HUMRASFA2-NEG-1321	N
HUMRASH-ACCEPTOR-2012	IE
HUMRGE-NEG-1801	N
HUMRPS14-ACCEPTOR-2108	IE
HUMRPS14-NEG-3421	N
HUMRSO5C-NEG-361	N
HUMSAA-NEG-2821	N
HUMSAA1A-NEG-3901	N
HUMSHBGA-DONOR-3802	EI
HUMSODA-ACCEPTOR-7572	IE
HUMSPRO-ACCEPTOR-1827	IE
HUMSPRO-DONOR-2585	EI
HUMTGFB-NEG-541	N
HUMTKRA-DONOR-2441	EI
HUMTNFAB-DONOR-5318	EI
HUMTPA-ACCEPTOR-23573	IE
HUMTPA-NEG-27001	N
HUMTPAR-NEG-361	N
HUMTPO13-NEG-1021	N
HUMTUBAG-ACCEPTOR-2858	IE
HUMTUBBM-ACCEPTOR-1265	IE
HUMUG3PD-NEG-61	N
HUMVDR-NEG-1441	N
HUMVWFA24-NEG-781	N
MACAPOE-NEG-181	N
MACHBGA1-DONOR-465	EI
MNKHBD-ACCEPTOR-475	IE
MNKHBPSBD-NEG-961	N
ORAHBBPSE-NEG-6661	N
ORAIGECA-DONOR-904	EI
